id,employee_id,employee_name_raw,team_raw,department_raw,survey_type,score,mte_score,ars_score,period_date,comments,raw_data,created_at
8530,394,Hatice YÄ±ldÄ±rÄ±m,Genel,SatÄ±ÅŸ,motivation,3.8,,,2026-06-03,,,2026-06-03 13:27:41.284543
8531,394,Hatice YÄ±ldÄ±rÄ±m,Genel,SatÄ±ÅŸ,satisfaction,3.5,,,2026-06-03,,,2026-06-03 13:27:41.284548
8532,394,Hatice YÄ±ldÄ±rÄ±m,Genel,SatÄ±ÅŸ,stress,1.5,,,2026-06-03,,,2026-06-03 13:27:41.28455
8042,394,Hatice YÄ±ldÄ±rÄ±m,Genel,SatÄ±ÅŸ,weekly_pulse,3,-0.21,0.54,2026-06-03,Genel ekibinde haftalik nabiz kaydi,"{""team"": ""Genel"", ""focus"": ""stability"", ""energy_signal"": ""watch""}",2026-06-03 13:27:41.167152
8533,395,Zeynep Kaya,Akdeniz,SatÄ±ÅŸ,motivation,3.1,,,2026-06-03,,,2026-06-03 13:27:41.284551
8534,395,Zeynep Kaya,Akdeniz,SatÄ±ÅŸ,satisfaction,3.1,,,2026-06-03,,,2026-06-03 13:27:41.284553
8535,395,Zeynep Kaya,Akdeniz,SatÄ±ÅŸ,stress,1.8,,,2026-06-03,,,2026-06-03 13:27:41.284554
8043,395,Zeynep Kaya,Akdeniz,SatÄ±ÅŸ,weekly_pulse,3.2,-0.06,0.5,2026-06-03,Akdeniz ekibinde haftalik nabiz kaydi,"{""team"": ""Akdeniz"", ""focus"": ""stability"", ""energy_signal"": ""watch""}",2026-06-03 13:27:41.167158
8536,396,Canan Dagdelen,Backend,YazÄ±lÄ±m GeliÅŸtirme,motivation,3.6,,,2026-06-03,,,2026-06-03 13:27:41.284556
8537,396,Canan Dagdelen,Backend,YazÄ±lÄ±m GeliÅŸtirme,satisfaction,3.8,,,2026-06-03,,,2026-06-03 13:27:41.284557
8538,396,Canan Dagdelen,Backend,YazÄ±lÄ±m GeliÅŸtirme,stress,1.8,,,2026-06-03,,,2026-06-03 13:27:41.284558
8044,396,Canan Dagdelen,Backend,YazÄ±lÄ±m GeliÅŸtirme,weekly_pulse,3.4,-0.01,0.46,2026-06-03,Backend ekibinde haftalik nabiz kaydi,"{""team"": ""Backend"", ""focus"": ""delivery"", ""energy_signal"": ""watch""}",2026-06-03 13:27:41.16716
8539,397,Berkant Demir,DevOps,YazÄ±lÄ±m GeliÅŸtirme,motivation,3.6,,,2026-06-03,,,2026-06-03 13:27:41.284559
8540,397,Berkant Demir,DevOps,YazÄ±lÄ±m GeliÅŸtirme,satisfaction,3.4,,,2026-06-03,,,2026-06-03 13:27:41.28456
8541,397,Berkant Demir,DevOps,YazÄ±lÄ±m GeliÅŸtirme,stress,1.5,,,2026-06-03,,,2026-06-03 13:27:41.284561
8045,397,Berkant Demir,DevOps,YazÄ±lÄ±m GeliÅŸtirme,weekly_pulse,3.1,-0.06,0.52,2026-06-03,DevOps ekibinde haftalik nabiz kaydi,"{""team"": ""DevOps"", ""focus"": ""stability"", ""energy_signal"": ""watch""}",2026-06-03 13:27:41.167161
8542,398,Elif Ozturk,Backend,YazÄ±lÄ±m GeliÅŸtirme,motivation,3.6,,,2026-06-03,,,2026-06-03 13:27:41.284562
8543,398,Elif Ozturk,Backend,YazÄ±lÄ±m GeliÅŸtirme,satisfaction,3.4,,,2026-06-03,,,2026-06-03 13:27:41.284563
8544,398,Elif Ozturk,Backend,YazÄ±lÄ±m GeliÅŸtirme,stress,1.7,,,2026-06-03,,,2026-06-03 13:27:41.284565
8046,398,Elif Ozturk,Backend,YazÄ±lÄ±m GeliÅŸtirme,weekly_pulse,3.2,-0.12,0.48,2026-06-03,Backend ekibinde haftalik nabiz kaydi,"{""team"": ""Backend"", ""focus"": ""delivery"", ""energy_signal"": ""watch""}",2026-06-03 13:27:41.167162
8545,399,Murat Kaya,Frontend,YazÄ±lÄ±m GeliÅŸtirme,motivation,3,,,2026-06-03,,,2026-06-03 13:27:41.284566
8546,399,Murat Kaya,Frontend,YazÄ±lÄ±m GeliÅŸtirme,satisfaction,3.1,,,2026-06-03,,,2026-06-03 13:27:41.284567
8547,399,Murat Kaya,Frontend,YazÄ±lÄ±m GeliÅŸtirme,stress,2,,,2026-06-03,,,2026-06-03 13:27:41.284568
8047,399,Murat Kaya,Frontend,YazÄ±lÄ±m GeliÅŸtirme,weekly_pulse,3.3,-0.06,0.44,2026-06-03,Frontend ekibinde haftalik nabiz kaydi,"{""team"": ""Frontend"", ""focus"": ""delivery"", ""energy_signal"": ""watch""}",2026-06-03 13:27:41.167163
